id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,potentially_hazardous_asteroid
2154347,2154347,154347 (2002 XK4),16.07,1623.883902199,3631.1147928846,False
2385186,2385186,385186 (1994 AW1),17.65,784.4314124479,1754.0419619197,True
2453309,2453309,453309 (2008 VQ4),19.5,334.6223744549,748.2383760735,False
3683468,3683468,(2014 QR295),18.39,557.8982210671,1247.4983468323,False
3703782,3703782,(2015 AE45),25.3,23.150212221,51.7654482198,False
3720918,3720918,(2015 LJ),24.7,30.5179232594,68.2401509401,False
3767936,3767936,(2017 BQ93),20.59,202.5606008648,452.9392730968,True
3792438,3792438,(2017 XY61),26.2,15.2951935344,34.201092472,False
3836251,3836251,(2018 VB10),25.8,18.388867207,41.1187571041,False
3837605,3837605,(2019 AE3),27.4,8.801465209,19.6806745089,False
3942363,3942363,(2019 YL),25.8,18.388867207,41.1187571041,False
3959234,3959234,(2019 YO4),21.9,110.8038821264,247.7650126055,False
3986848,3986848,(2020 BT3),25.56,20.5378499518,45.924028604,False
54104550,54104550,(2021 AP1),23.67,49.0405098418,109.6579136575,False
54105994,54105994,(2021 AX6),26.89,11.1315329608,24.8908643942,False
54166175,54166175,(2021 NZ),23.8,46.1907460282,103.2856480504,False
54202993,54202993,(2021 TU1),22.54,82.5191938525,184.5185269026,False
54290862,54290862,(2022 OS),21.79,116.5614594686,260.6393469284,False
54335607,54335607,(2022 YR1),26.04,16.4647437755,36.8162863142,False
54337027,54337027,(2022 YM6),25.25,23.6894499356,52.9712204056,False
54337425,54337425,(2022 YS6),26.87,11.2345317672,25.1211767268,False
54340039,54340039,(2023 BN2),21.59,127.8070988179,285.7853609639,False
54341664,54341664,(2023 CA4),22.06,102.9330820202,230.1653685307,False
